turismoi_slug_place|turismoi_city_name|turismoi_country|turismoi_latitude|turismoi_longitude|travelC_provider_code|travelC_city_name|travelC_country|travelC_latitude|travelC_longitude
villavicencio|Villavicencio|COLOMBIA (CO)|NULL|NULL|VVC|Villavicencio|VVC|4.15|-73.633333
zacatecas|Zacatecas|MEXICO (MX)|NULL|NULL|ZAC|Zacatecas|ZCL|22.770925|-102.583254
zamora|Zamora|SPAIN (ES)|41.5034|-5.7467|ZAM|Zamora|SLM|41.503471|-5.746788
temuco|Temuco|CHILE (CL)|NULL|NULL|ZCO|Temuco|ZCO|-38.735902|-72.590374
osorno|Osorno|CHILE (CL)|NULL|NULL|ZOS|Osorno|ZOS|-40.57619|-73.114947
pucon|Pucón|CHILE (CL)|-39.2722|-71.9776|ZPC|Pucon|ZCO|-39.272254|-71.977628
bahia-blanca|Bahía Blanca|ARGENTINA (AR)|NULL|NULL|AR-1|Bahía Blanca|BHI|-38.71526576615614|-62.29511897661723
tulancingo|Tulancingo|MEXICO (MX)|NULL|NULL|PCH4|Tulancingo|MEX|20.0719902|-98.36909220000001
ciudad-del-este|Ciudad del Este|PARAGUAY (PY)|NULL|NULL|AGT-1|Ciudad del Este|AGT|-25.5085286|-54.675323100000014
belmopan|Belmopán|BELIZE (BZ)|NULL|NULL|BCV-1|Belmopan|BZE|17.2510114|-88.75902009999999
ciudad-obregon|Ciudad Obregón|MEXICO (MX)|NULL|NULL|CE2-1|Ciudad Obregón|CEN|27.4827729|-109.93036699999999
navojoa|Navojoa|MEXICO (MX)|NULL|NULL|CE2-2|Navojoa|CEN|27.072757|-109.443749
el-calafate|El Calafate|ARGENTINA (AR)|NULL|NULL|CFE-1|El Calafate|FTE|-50.333333|-72.283333
palenque|Palenque|MEXICO (MX)|NULL|NULL|CIP-4|Palenque|TGZ|17.50987276061629|-91.98144710474924
david|David|PANAMA (PA)|NULL|NULL|DAW-1|David|DAV|8.433333|-82.433333
liberia|Liberia|COSTA RICA (CR)|NULL|NULL|GAN40|Liberia|LIR|10.634596|-85.440675
