ar:azul >> |AR|azul|ok MACTH TT|
ar:bahia blanca >> |AR|bahia blanca|ok MACTH TT|
ar:banda del rio sali >> |AR|banda del rio sali|no MACTH TT|
ar:banfield >> |AR|banfield|ok MACTH TT|
ar:barranqueras >> |AR|barranqueras|no MACTH TT|
ar:beccar >> |AR|beccar|ok MACTH TT|
ar:belen de escobar >> |AR|belen de escobar|ok MACTH TT|
ar:bella vista >> |AR|bella vista|ok MACTH TT|
ar:berazategui >> |AR|berazategui|ok MACTH TT|
ar:berisso >> |AR|berisso|no MACTH TT|
ar:bernal >> |AR|bernal|ok MACTH TT|
ar:bosques >> |AR|bosques|no MACTH TT|
ar:boulogne sur mer >> |AR|boulogne sur mer|no MACTH TT|
ar:buenos aires >> |AR|buenos aires|ok MACTH TT|
ar:burzaco >> |AR|burzaco|no MACTH TT|
ar:campana >> |AR|campana|ok MACTH TT|
ar:caseros >> |AR|caseros|ok MACTH TT|
ar:castelar >> |AR|castelar|ok MACTH TT|
ar:catamarca >> |AR|catamarca|ok MACTH TT|
ar:chaco >> |AR|chaco|no MACTH TT|
ar:chimbas >> |AR|chimbas|ok MACTH TT|
ar:chivilcoy >> |AR|chivilcoy|ok MACTH TT|
ar:chubut >> |AR|chubut|no MACTH TT|
ar:cipolletti >> |AR|cipolletti|ok MACTH TT|
ar:ciudad de buenos aires >> |AR|ciudad de buenos aires|no MACTH TT|
ar:ciudad evita >> |AR|ciudad evita|ok MACTH TT|
ar:ciudad jardin el libertador >> |AR|ciudad jardin el libertador|no MACTH TT|
ar:ciudadela >> |AR|ciudadela|ok MACTH TT|
ar:clorinda >> |AR|clorinda|no MACTH TT|
ar:comodoro rivadavia >> |AR|comodoro rivadavia|ok MACTH TT|
ar:concepcion >> |AR|concepcion|ok MACTH TT|
ar:concepcion del uruguay >> |AR|concepcion del uruguay|no MACTH TT|
ar:concordia >> |AR|concordia|ok MACTH TT|
ar:cordoba >> |AR|cordoba|ok MACTH TT|
ar:corrientes >> |AR|corrientes|ok MACTH TT|
ar:don torcuato >> |AR|don torcuato|ok MACTH TT|
ar:el calafate >> |AR|el calafate|ok MACTH TT|
ar:el jaguel >> |AR|el jaguel|no MACTH TT|
ar:el palomar >> |AR|el palomar|ok MACTH TT|
ar:eldorado >> |AR|eldorado|ok MACTH TT|
ar:entre rios >> |AR|entre rios|no MACTH TT|
ar:esperanza >> |AR|esperanza|no MACTH TT|
ar:esquel >> |AR|esquel|ok MACTH TT|
ar:ezeiza >> |AR|ezeiza|ok MACTH TT|
ar:ezpeleta >> |AR|ezpeleta|no MACTH TT|
ar:florencio varela >> |AR|florencio varela|ok MACTH TT|
